Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Light_Density(Lux),Irrigation(Liters),Soil_pH,EC(dS/m),Temperature(°C),Humidity(%)
18,65,21,48,11972,8,6.82,1.2,31.6,51
36,72,37,50,13840,4,6.9,1.68,29.8,53
45,77,31,69,18837,3,6.86,2.02,32.9,52
26,50,20,51,13089,7,6.84,0.96,30.2,55
27,55,18,77,13272,7,6.81,1.51,29.9,65
41,47,16,65,16033,4,6.78,1.09,31.8,58
43,67,18,86,13889,1,6.03,1.91,29.6,57
25,47,22,87,9959,6,7.09,1.62,29.7,68
22,79,36,69,6384,9,7.17,2.16,25.0,66
30,71,28,86,10706,5,6.44,2.18,32.0,50
39,44,34,74,17274,2,6.55,1.55,34.7,47
51,58,27,79,10047,0,6.44,1.78,28.0,63
42,73,38,40,13211,3,6.42,1.53,30.8,53
40,75,29,44,12622,2,6.77,1.47,30.5,63
38,48,17,77,10745,0,7.08,1.36,28.3,60
20,58,39,79,4000,10,6.75,2.0,23.3,64
25,73,20,67,15113,4,6.55,1.7,30.5,49
39,74,17,66,13886,3,6.7,1.64,29.2,64
28,50,39,69,19550,7,6.66,1.66,33.0,60
40,46,36,88,4124,0,6.38,1.89,24.9,60
33,77,35,87,4523,6,6.37,2.44,26.0,63
45,52,30,84,19507,0,6.7,1.81,37.2,49
52,63,25,84,10016,3,6.34,1.93,27.3,67
46,59,16,55,12228,3,6.47,1.13,30.8,62
23,70,18,80,12146,11,6.49,1.85,29.7,55
31,63,22,63,10989,4,6.58,1.47,30.6,58
46,74,27,86,11502,3,6.76,2.21,26.1,61
45,41,19,40,13950,0,6.67,0.56,30.0,46
27,58,15,69,10966,4,6.93,1.36,28.0,63
21,56,36,60,10653,8,6.96,1.55,29.8,65
41,61,33,58,13126,4,7.08,1.55,28.2,59
19,75,39,62,14439,8,6.73,2.0,32.4,56
46,59,19,40,7206,1,7.43,0.9,26.2,56
42,67,23,70,11674,3,6.36,1.7,27.6,60
48,43,36,57,7858,0,7.12,1.24,28.3,51
32,50,20,60,5907,6,6.6,1.13,26.9,64
50,65,23,61,17066,2,6.92,1.49,34.3,41
25,47,24,77,13360,6,6.68,1.47,30.7,55
33,67,15,77,13426,3,6.79,1.68,31.5,58
51,54,34,48,16024,3,6.56,1.24,32.8,59
23,51,18,76,16129,11,6.54,1.41,33.8,54
40,55,16,63,20400,0,6.08,1.2,38.0,50
38,40,16,77,4000,0,7.12,1.19,25.1,54
52,50,35,82,16549,1,6.48,1.83,32.4,53
46,44,35,84,8842,2,6.18,1.76,25.8,67
52,62,28,67,5544,1,6.37,1.64,25.6,59
19,69,29,60,12992,9,6.34,1.66,30.6,58
50,47,20,61,8453,3,6.57,1.09,26.4,73
43,77,16,58,4000,3,6.23,1.53,23.3,67
49,43,28,86,7612,4,6.66,1.64,24.7,61
35,63,16,66,4000,3,6.53,1.41,22.0,65
51,40,24,40,9567,3,7.21,0.63,28.6,61
47,57,25,69,13926,2,6.47,1.53,32.8,60
40,67,28,49,15931,3,6.7,1.4,33.2,54
37,57,33,70,11750,2,6.61,1.7,28.6,70
40,76,15,73,14470,2,6.95,1.78,32.4,56
25,51,19,50,15008,4,6.46,0.94,33.7,60
31,77,22,41,12583,5,6.58,1.32,28.1,64
40,72,17,52,14006,4,6.93,1.34,31.6,65
31,45,24,71,16898,3,6.57,1.32,33.7,55
19,78,16,75,8497,7,6.91,1.87,25.6,61
21,71,29,42,10318,8,6.7,1.36,28.1,59
41,49,27,83,7669,1,7.22,1.68,27.6,54
53,78,26,89,8998,1,7.08,2.33,25.8,60
26,51,35,70,7563,5,6.56,1.62,28.4,58
33,76,20,86,18984,6,6.86,2.12,37.1,46
49,56,20,51,6853,4,6.72,1.07,25.6,59
49,51,22,85,13113,1,6.86,1.66,29.2,66
44,56,39,48,14358,4,6.84,1.38,30.4,67
32,40,38,79,12326,3,6.74,1.64,33.0,55
21,51,33,58,16117,9,6.9,1.36,31.8,51
53,62,39,88,8020,2,6.45,2.25,25.9,60
42,62,27,80,9671,0,6.14,1.87,28.8,64
32,50,24,68,13648,6,6.53,1.36,32.8,54
29,75,34,48,8850,5,6.88,1.64,27.6,53
24,70,28,74,17232,6,6.73,1.93,33.5,49
53,73,22,60,15902,3,6.96,1.6,32.2,64
41,71,27,61,13247,0,6.62,1.68,31.3,61
23,70,19,83,12666,7,6.86,1.93,29.3,66
48,66,23,87,5624,1,6.48,2.0,27.4,63
38,64,34,40,10950,2,6.43,1.28,28.3,62
28,77,34,59,7935,7,6.69,1.89,27.9,59
33,49,33,70,16846,5,6.33,1.55,35.7,46
31,46,27,52,11360,4,7.27,1.03,30.6,62
42,63,16,60,15191,2,6.54,1.3,33.7,49
31,69,18,74,8980,3,7.09,1.72,27.7,59
35,54,37,45,14327,1,6.29,1.24,30.5,47
31,44,20,77,22144,6,6.7,1.34,36.0,52
41,71,25,55,11483,0,6.99,1.53,31.5,53
25,75,34,47,11490,7,6.72,1.62,30.1,64
42,51,21,51,7220,1,6.85,1.0,25.7,71
51,42,21,55,20030,2,6.59,0.9,34.0,56
45,68,33,80,18979,4,6.93,2.1,35.1,59
41,56,34,69,12404,4,6.37,1.68,29.8,55
35,74,18,41,18014,1,6.67,1.19,34.1,57
51,78,17,68,9525,2,6.59,1.76,27.6,63
20,67,37,87,7735,6,6.67,2.29,25.1,63
29,40,20,61,19198,4,6.84,0.96,36.2,47
53,74,35,58,10633,0,6.57,1.83,28.3,57
22,47,26,87,18338,9,7.08,1.7,33.0,53
36,46,21,80,6821,2,6.44,1.45,28.7,66
29,60,32,51,8194,6,6.52,1.38,27.1,60
44,53,20,76,12431,4,7.03,1.49,30.1,59
34,78,21,87,6746,4,7.31,2.2,25.4,65
45,74,24,43,13527,2,6.86,1.34,30.4,63
39,51,24,50,16959,1,7.17,1.03,34.6,55
27,46,37,41,9056,3,6.69,1.01,28.9,60
23,40,19,67,15220,11,6.8,1.05,31.1,56
34,66,15,42,14060,7,7.32,1.0,32.2,64
29,78,34,45,14541,6,6.67,1.64,32.7,56
23,61,20,80,13383,7,6.56,1.72,29.2,58
39,57,35,75,15899,1,6.78,1.83,33.6,49
33,63,36,71,9517,4,6.65,1.89,28.2,58
21,73,37,78,12668,10,6.26,2.23,31.1,56
42,76,38,51,15851,4,6.82,1.8,31.8,49
50,40,34,75,14849,4,6.75,1.49,32.0,54
18,51,27,42,15958,10,6.66,0.94,31.8,50
32,68,15,72,12689,7,7.04,1.6,32.7,59
34,68,15,44,7296,5,6.99,1.07,26.8,67
36,65,24,79,13168,2,6.76,1.85,31.3,60
36,43,34,41,15771,1,6.46,0.9,31.3,52
37,75,28,48,11155,3,7.37,1.53,30.3,51
18,58,16,43,16475,8,6.98,0.88,34.5,54
40,67,28,82,16197,4,6.66,2.02,32.1,64
33,53,36,84,6386,7,6.47,1.95,26.6,63
41,46,21,84,7349,1,6.85,1.53,26.4,65
37,72,37,76,12250,3,6.63,2.18,31.0,49
32,68,26,58,17214,4,6.75,1.55,34.8,40
41,57,37,73,11358,3,7.05,1.83,29.0,61
54,62,38,66,7166,3,6.68,1.81,28.3,61
50,61,23,75,12480,2,6.75,1.68,30.5,51
49,61,30,47,19148,0,6.81,1.28,33.4,58
48,51,15,87,12327,2,6.33,1.57,31.3,53
32,68,16,53,5099,7,6.74,1.26,26.4,61
18,43,33,76,4000,8,7.12,1.55,24.2,68
29,45,37,51,9368,7,7.14,1.19,26.7,59
52,69,25,88,11699,4,6.83,2.12,30.9,55
54,78,24,71,10319,3,6.63,1.95,27.1,60
47,43,30,71,14670,4,7.01,1.4,31.3,58
43,53,17,72,15267,0,6.26,1.36,31.9,61
28,65,26,44,12019,5,6.77,1.22,32.4,54
49,59,33,82,12961,0,7.17,1.97,31.2,49
19,77,18,89,18240,11,7.19,2.16,33.3,54
27,41,21,75,4883,6,6.28,1.26,26.9,54
39,75,22,45,15363,1,7.42,1.36,33.0,65
26,73,27,63,12465,6,6.6,1.76,32.8,59
47,67,18,45,15889,2,6.85,1.13,31.1,51
42,74,24,57,4039,0,6.59,1.6,24.9,60
38,49,22,66,12537,3,6.39,1.26,30.4,62
35,59,21,79,12372,0,6.69,1.68,29.6,62
37,58,29,66,15378,0,6.28,1.57,33.4,58
33,43,29,74,8503,3,6.27,1.43,28.2,57
52,53,15,55,13182,1,5.89,1.0,30.2,54
46,50,31,85,14288,0,6.63,1.81,30.5,58
47,72,18,89,13095,3,6.61,2.06,29.8,60
20,79,16,50,12091,10,6.63,1.41,30.6,55
49,48,22,81,15580,2,6.69,1.53,31.3,63
31,61,33,61,7655,7,6.35,1.6,26.0,66
43,73,27,83,15249,4,7.16,2.14,32.0,52
22,77,30,76,8632,6,6.86,2.14,28.3,69
45,65,16,80,8716,4,6.56,1.72,27.1,67
25,52,33,60,8432,3,6.84,1.41,27.4,53
50,69,20,75,16612,1,6.37,1.78,34.7,55
53,65,27,51,13431,2,6.69,1.38,32.5,61
30,73,34,44,13586,3,6.74,1.53,29.1,60
37,61,35,86,19102,4,6.33,2.12,35.1,47
35,63,22,64,6543,4,6.76,1.49,26.5,54
37,78,36,86,16519,4,6.27,2.46,31.1,58
50,71,16,57,16705,1,6.45,1.4,34.3,52
38,53,32,45,8248,0,6.08,1.13,28.4,60
41,56,17,63,7378,2,6.83,1.24,25.4,66
45,62,33,69,11860,4,6.35,1.78,31.2,62
22,58,30,81,10391,10,7.19,1.87,29.9,52
47,66,35,40,12348,1,6.71,1.34,28.7,55
41,77,16,85,9296,1,7.03,2.04,27.7,58
31,72,27,72,19738,3,6.49,1.91,34.5,54
53,59,26,87,14137,4,6.59,1.93,31.8,57
53,55,16,57,13879,1,6.55,1.09,31.1,64
43,57,25,86,12296,3,6.94,1.85,30.8,57
30,58,23,51,12948,4,6.78,1.17,31.5,48
38,47,26,51,8592,0,6.07,1.01,27.6,65
43,75,29,60,5245,3,6.62,1.78,26.7,68
51,75,17,53,13025,1,6.81,1.41,31.4,56
31,40,19,81,15842,4,6.55,1.32,32.4,55
38,55,17,54,10103,1,6.79,1.05,28.0,57
36,70,30,61,7416,0,6.71,1.72,27.1,59
29,61,29,68,21579,6,6.51,1.66,37.3,48
53,40,24,58,8201,2,6.83,0.98,29.8,72
47,61,20,85,10500,2,6.52,1.81,28.3,60
50,73,31,42,17778,4,6.67,1.43,34.0,50
40,73,36,84,6329,2,6.45,2.33,24.2,66
30,78,27,74,6868,7,6.67,2.06,27.2,63
45,56,16,48,11147,1,7.13,0.94,29.3,59
45,77,17,45,12602,3,6.67,1.3,30.5,52
36,46,31,53,15482,1,6.4,1.13,34.5,57
54,73,23,83,9328,2,6.87,2.06,25.8,68
48,63,39,58,11659,3,6.4,1.7,29.1,57
34,67,28,87,5822,7,6.64,2.12,25.7,61
45,60,29,83,10388,1,6.64,1.93,27.7,56
21,46,15,51,19023,10,6.4,0.79,35.4,53
23,65,23,60,14345,6,6.95,1.47,33.4,57
36,47,19,43,9410,1,6.57,0.73,28.7,65
40,65,16,46,14768,0,6.36,1.07,31.6,65
23,76,24,64,6985,10,6.35,1.78,28.5,65
41,51,32,78,23554,3,6.54,1.72,38.3,49
39,53,24,73,11416,1,6.89,1.51,29.1,53
38,47,38,85,7902,4,6.87,1.89,26.7,65
31,47,22,58,16550,3,6.83,1.07,34.2,51
41,66,17,55,10446,4,6.61,1.28,28.9,60
42,72,32,87,16073,1,5.88,2.29,34.0,58
34,66,24,48,18695,7,6.31,1.28,33.9,57
52,47,22,74,15607,3,6.88,1.38,32.5,58
34,65,23,69,12283,7,6.82,1.64,28.5,59
45,72,30,49,13425,3,6.92,1.53,32.4,56
19,63,33,45,12617,10,6.43,1.34,31.0,50
51,66,18,44,9879,1,6.53,1.09,30.1,60
18,69,33,51,14406,7,6.75,1.57,33.3,63
20,58,24,63,7768,8,7.03,1.41,27.9,63
39,76,31,48,10479,2,6.93,1.6,31.1,55
21,57,29,71,12233,9,7.07,1.64,29.8,64
32,70,15,42,17187,6,7.07,1.07,31.6,58
53,56,21,44,9953,3,7.14,0.96,26.4,66
29,59,34,65,7689,7,7.04,1.66,27.2,65
54,76,15,73,14861,2,6.92,1.78,31.4,59
24,78,20,60,5500,6,6.78,1.66,23.5,64
48,41,26,50,4000,3,6.78,0.88,23.1,63
22,60,19,76,11100,10,6.58,1.6,28.4,55
44,79,39,75,12675,4,6.81,2.33,30.4,60
42,53,23,73,5561,1,6.79,1.49,22.5,69
34,41,20,74,6679,5,6.64,1.22,26.8,59
45,49,36,72,13210,2,6.48,1.64,31.2,59
44,64,26,87,15107,4,6.29,2.02,32.0,61
43,42,15,82,13295,3,6.82,1.3,30.4,50
46,42,33,67,8608,2,6.68,1.36,28.4,55
44,72,36,48,12382,1,6.59,1.62,28.8,54
34,41,19,61,16971,4,6.64,0.96,34.5,48
33,77,28,72,6941,6,7.14,2.02,28.0,67
26,51,20,46,11107,6,6.54,0.88,29.2,54
49,67,34,80,6968,2,7.01,2.1,24.0,67
18,55,18,62,7446,6,6.77,1.22,28.4,63
26,66,28,73,14170,7,6.49,1.83,29.9,59
24,62,30,51,10258,11,6.54,1.38,30.4,48
54,75,16,63,7143,1,6.51,1.59,27.7,61
23,69,29,49,17459,8,6.75,1.45,34.5,62
54,53,18,73,5729,4,6.75,1.4,25.3,68
21,56,23,50,19062,9,6.51,1.11,35.9,53
54,73,22,85,4303,3,6.42,2.08,24.7,70
27,44,36,52,9703,7,6.68,1.17,26.6,69
27,65,26,40,7990,4,6.46,1.15,25.7,57
52,58,35,78,10679,2,6.88,1.91,28.3,58
25,78,18,41,19037,4,6.69,1.26,35.0,55
40,74,25,46,11910,3,6.84,1.41,29.2,70
24,51,31,78,15925,9,6.48,1.7,33.7,53
19,44,21,72,4829,11,6.54,1.26,24.1,63
37,76,37,76,12464,4,6.85,2.25,31.9,39
48,49,36,79,12934,0,6.56,1.78,31.2,55
47,73,28,78,4000,1,6.28,2.06,24.4,59
42,41,19,72,11115,0,6.24,1.17,30.4,60
27,48,27,55,12897,6,7.13,1.13,30.3,58
34,47,26,79,18096,6,6.39,1.55,35.8,53
26,61,16,70,8333,5,6.96,1.45,27.5,65
49,53,30,73,7436,4,7.01,1.62,26.9,56
41,69,17,40,4000,0,6.2,1.05,22.9,72
33,78,34,64,14799,6,6.8,2.0,32.2,59
29,45,23,55,8002,4,6.31,1.0,28.2,59
52,42,17,86,15397,3,6.67,1.41,32.8,64
34,44,22,89,16643,7,6.47,1.6,33.5,59
46,42,29,85,14571,1,6.86,1.62,33.8,59
53,75,35,66,15336,1,6.49,2.0,32.4,61
52,70,23,55,11244,1,6.51,1.47,28.6,53
21,76,24,67,6457,6,6.52,1.83,25.9,61
24,73,23,58,16381,8,6.4,1.59,33.1,56
36,51,36,62,14476,2,6.54,1.49,31.1,59
45,76,16,51,11942,2,6.57,1.38,31.7,57
39,78,37,84,20160,2,7.58,2.44,33.7,59
38,66,16,43,5250,3,6.71,1.03,24.5,59
22,52,33,77,9494,11,6.03,1.74,27.2,60
49,73,17,67,13318,3,6.79,1.64,30.3,55
18,46,19,58,9396,8,7.08,1.0,27.4,63
37,70,39,60,9910,2,6.76,1.87,27.8,66
45,71,32,89,10765,3,6.68,2.31,28.8,56
54,45,38,72,16033,3,7.24,1.6,31.6,57
29,40,24,80,13484,4,7.59,1.4,32.1,62
35,53,23,80,12674,4,6.9,1.62,29.6,54
22,76,24,68,14305,9,6.93,1.85,32.9,48
48,46,33,64,15800,3,6.73,1.38,34.5,47
19,66,18,68,8394,6,6.67,1.55,26.6,69
26,49,39,60,15703,3,6.39,1.47,31.7,48
19,40,30,73,5929,6,6.57,1.38,24.9,70
35,57,32,49,10660,4,6.63,1.28,28.8,62
52,58,30,63,17351,4,6.97,1.53,34.2,48
42,76,28,45,4595,3,6.99,1.49,24.5,66
33,68,27,78,11626,5,6.72,1.95,30.7,56
37,45,31,86,8942,1,6.67,1.74,30.2,64
21,50,37,69,14812,10,6.96,1.62,31.3,63
49,78,26,66,8190,1,5.97,1.89,26.0,62
37,46,29,66,9649,0,6.87,1.34,28.5,60
32,78,38,40,12512,4,6.82,1.62,30.2,60
35,42,27,75,10886,4,7.06,1.4,28.5,53
24,72,26,84,17649,6,7.2,2.12,36.5,53
20,70,29,58,8137,6,6.64,1.64,26.5,66
25,56,22,47,13996,3,7.0,1.03,33.0,64
46,76,28,48,13847,3,7.21,1.55,31.7,60
25,55,39,57,9461,5,6.48,1.53,27.1,72
18,62,25,57,11428,9,7.19,1.4,27.7,63
38,61,33,68,9900,1,6.58,1.74,28.3,56
19,40,15,58,13540,10,6.76,0.8,32.1,53
51,58,31,50,10535,3,7.01,1.3,28.6,51
38,46,22,45,15804,3,6.68,0.8,32.6,52
50,72,21,67,5529,3,6.53,1.7,26.1,65
24,41,15,45,12433,10,6.76,0.58,32.0,58
32,60,29,80,9271,7,6.43,1.87,27.9,56
26,66,38,58,18611,4,6.29,1.74,35.2,57
47,52,22,51,18436,2,6.56,1.03,35.5,57
34,71,26,69,15366,3,6.13,1.81,31.9,50
38,71,38,85,9963,1,6.4,2.35,26.4,60
20,40,38,64,13827,6,6.99,1.36,30.2,59
54,68,38,63,16318,0,6.78,1.87,33.0,59
34,41,20,75,14871,6,6.13,1.24,34.2,53
34,78,27,82,12394,3,7.24,2.21,29.8,57
28,78,17,49,14230,3,7.15,1.4,33.7,50
27,69,37,68,5858,5,6.35,1.97,24.0,59
18,65,30,50,9198,7,6.18,1.41,30.1,59
27,66,26,51,16935,4,6.92,1.38,33.1,55
42,51,38,84,10698,1,6.02,1.95,28.7,63
33,42,33,82,10310,5,7.08,1.64,28.3,59
49,47,30,58,14761,3,5.83,1.22,32.8,60
42,59,27,89,5840,2,6.52,1.99,26.6,64
30,42,26,82,7050,4,6.52,1.51,25.8,73
33,72,26,70,7757,3,6.83,1.85,26.8,68
37,49,17,54,16578,3,7.0,0.94,33.8,54
45,48,16,43,7576,1,7.22,0.69,28.1,68
25,62,33,43,10989,7,6.16,1.28,29.9,61
48,77,35,71,19162,0,6.08,2.14,34.4,53
45,54,29,78,16955,1,6.57,1.72,31.4,57
46,60,25,52,18974,3,6.84,1.26,33.3,53
51,55,32,53,11697,3,6.77,1.32,29.4,66
54,45,39,57,13324,4,6.39,1.34,29.7,54
37,41,16,60,10371,1,6.35,0.88,29.1,58
22,77,35,64,4166,9,6.23,2.0,24.9,56
44,44,16,66,16825,4,6.86,1.05,32.1,54
54,78,28,79,21761,1,6.92,2.18,38.0,56
54,79,25,40,13421,0,7.24,1.4,30.7,45
48,74,29,42,12737,4,6.93,1.41,30.4,58
50,61,15,72,11273,3,6.28,1.47,30.1,52
49,71,27,69,13709,3,6.62,1.83,31.4,64
34,54,17,64,13570,7,6.5,1.22,32.3,56
40,48,20,42,9559,4,6.53,0.75,28.3,65
54,77,29,71,8689,4,6.45,2.02,29.0,63
34,67,34,59,15686,5,6.18,1.7,30.8,52
35,49,29,89,9538,0,6.02,1.83,28.0,63
31,42,28,67,6684,4,7.21,1.26,24.6,58
33,72,39,43,14344,4,6.37,1.59,32.4,69
41,50,36,47,12465,3,6.48,1.19,32.2,59
20,67,36,67,5884,8,6.55,1.89,26.5,65
30,47,31,88,10593,5,7.38,1.81,31.6,68
38,47,28,89,19794,2,6.36,1.78,35.9,48
36,59,25,87,9534,2,6.84,1.91,26.2,66
33,65,23,73,10810,5,6.93,1.72,29.4,55
45,51,25,49,12006,4,6.29,1.03,29.9,63
22,63,20,62,8708,7,6.5,1.41,27.7,63
25,49,28,53,17372,3,7.11,1.13,32.6,50
32,42,24,66,9607,4,6.83,1.17,27.6,56
26,41,38,74,8855,7,6.96,1.57,28.1,64
35,65,27,54,14160,0,6.68,1.43,30.1,58
37,67,39,67,17878,3,6.63,1.95,32.9,50
53,74,25,82,15937,3,7.03,2.1,33.5,56
43,60,33,49,12457,4,6.96,1.36,29.7,61
19,69,17,85,11924,7,6.69,1.91,30.4,66
23,51,38,83,17536,10,7.26,1.93,34.3,58
20,50,27,76,11768,8,7.11,1.57,32.1,60
38,74,17,54,12218,4,6.64,1.41,28.8,62
40,49,30,52,11909,4,7.08,1.15,30.0,61
43,41,17,43,11997,2,7.07,0.58,29.6,54
39,73,35,57,17511,3,6.77,1.8,34.2,49
37,65,30,50,6643,4,6.51,1.41,26.3,58
47,41,39,81,15165,0,6.36,1.72,31.8,56
49,45,18,89,7532,0,7.08,1.55,24.2,71
19,40,18,44,12727,6,6.48,0.6,27.3,57
47,53,36,55,5091,1,6.2,1.4,25.2,62
49,76,26,84,9353,0,6.55,2.2,26.6,54
44,50,20,55,6501,4,6.75,1.03,25.4,58
29,76,17,77,16782,4,6.93,1.89,32.6,53
40,51,20,87,6198,2,6.45,1.66,23.5,69
32,65,31,40,18580,3,7.11,1.24,36.3,50
52,70,18,84,21249,1,6.94,1.93,35.8,54
20,44,24,84,10619,7,6.63,1.55,30.7,62
32,69,31,64,13681,5,6.96,1.78,31.7,62
22,70,18,84,8046,11,6.78,1.93,27.8,54
45,47,30,88,16447,4,7.41,1.8,32.3,57
27,51,22,82,11904,7,6.89,1.6,30.4,58
39,66,29,75,7366,2,6.46,1.89,25.4,59
20,68,32,68,14487,11,7.06,1.85,31.7,60
53,69,16,68,12573,3,6.55,1.57,29.4,61
19,55,35,64,4000,9,6.76,1.59,24.2,70
42,44,23,77,14128,4,6.63,1.4,32.5,57
47,76,22,77,12065,0,6.63,1.99,30.9,51
23,66,22,52,12587,11,6.83,1.32,29.9,62
32,77,23,72,12182,7,6.97,1.93,29.2,65
38,47,34,51,10144,3,6.78,1.17,26.7,55
37,72,17,63,10454,0,6.73,1.55,28.6,62
30,50,22,43,8609,3,6.35,0.84,27.8,65
28,41,32,65,12289,3,6.79,1.28,27.8,56
21,54,21,84,11727,7,6.71,1.68,31.0,59
51,43,26,49,18269,4,7.05,0.9,33.7,48
31,47,30,71,12649,7,6.81,1.47,31.4,60
29,72,26,85,4363,6,6.41,2.14,22.5,71
31,45,35,64,14537,4,6.69,1.4,30.2,54
31,75,20,49,16766,5,6.87,1.4,33.6,51
42,67,31,82,15661,4,6.5,2.08,30.8,56
36,50,23,88,9692,1,6.1,1.72,27.8,58
35,59,30,79,16931,2,6.91,1.85,33.6,48
29,78,22,75,16534,7,6.54,1.99,34.5,55
20,49,33,45,15602,10,6.82,1.07,31.6,57
54,42,38,46,17442,3,6.42,1.05,33.9,56
26,42,28,74,12056,5,6.79,1.4,28.3,60
46,74,30,65,18743,1,6.77,1.87,33.5,53
45,53,25,89,14311,2,6.85,1.83,31.1,59
39,66,39,49,11399,4,7.05,1.59,30.3,47
18,50,31,48,16146,10,6.43,1.11,32.4,60
29,47,22,89,21295,6,6.34,1.66,36.4,43
21,78,34,67,18854,11,6.27,2.06,35.4,53
41,79,23,82,10178,1,6.54,2.16,27.7,60
20,47,24,52,9382,10,6.92,1.0,29.0,54
23,58,35,47,15291,9,7.12,1.32,33.8,52
18,79,17,44,9001,8,6.79,1.32,29.9,61
34,59,27,58,12676,5,6.62,1.4,30.8,42
20,49,17,52,14822,8,6.67,0.9,32.1,61
20,62,35,44,5637,9,6.65,1.34,25.3,65
26,45,25,61,13164,3,6.04,1.15,33.2,51
35,44,30,52,8617,1,6.68,1.05,28.1,60
50,49,33,72,14575,2,6.86,1.59,31.3,58
43,65,29,85,9527,2,7.23,2.06,26.4,65
39,65,31,47,18116,2,6.46,1.38,34.1,58
18,40,38,59,9425,6,7.28,1.26,29.7,66
36,68,16,81,13924,0,6.09,1.8,30.7,59
23,55,38,83,8557,7,6.36,2.0,27.1,55
43,73,32,72,15089,3,6.51,2.02,32.3,62
38,41,37,73,13717,1,7.12,1.53,29.3,50
22,64,25,60,16438,8,6.67,1.49,33.3,59
35,41,17,78,8627,1,6.8,1.24,26.6,63
32,44,21,83,14021,5,6.54,1.47,32.3,62
37,55,21,76,9903,0,6.66,1.55,27.6,58
45,60,29,49,8978,4,6.65,1.28,29.9,54
54,67,18,71,13776,0,6.68,1.62,31.2,55
26,49,34,66,12361,4,7.05,1.49,29.1,54
43,65,37,62,18029,3,7.01,1.78,32.4,62
37,60,34,78,6295,4,6.62,1.93,27.3,58
24,45,26,78,12464,8,6.04,1.49,29.2,58
26,60,37,42,9806,3,6.3,1.3,30.1,66
50,68,26,67,14750,1,7.03,1.72,32.1,56
39,66,28,57,9629,0,7.07,1.53,27.8,70
18,67,35,61,9435,10,6.43,1.76,29.7,63
25,73,24,43,10099,7,7.44,1.32,29.4,53
51,65,27,46,9818,1,6.72,1.28,28.8,64
42,49,33,40,13855,3,6.49,0.98,32.1,54
50,42,19,49,13585,2,6.63,0.75,31.2,49
26,75,16,68,17912,3,6.44,1.68,33.5,62
34,62,37,46,11151,4,6.9,1.41,28.9,62
28,70,31,40,10166,3,7.02,1.34,28.2,52
36,44,33,52,19166,0,6.41,1.11,35.1,59
39,47,34,89,13714,4,6.37,1.89,31.3,66
26,51,19,82,10982,3,7.13,1.55,29.0,63
27,60,39,78,10710,3,6.78,2.02,29.2,61
42,46,34,64,12473,2,6.83,1.4,30.0,63
38,78,37,57,12748,3,6.61,1.93,29.4,54
28,40,31,88,11991,5,6.63,1.68,29.5,57
37,54,39,42,12583,3,6.97,1.22,30.8,62
29,71,15,73,13558,7,6.7,1.68,31.5,57
32,67,37,44,4000,7,5.95,1.47,24.0,71
23,56,17,71,10343,6,6.84,1.4,28.1,71
34,62,20,82,15239,3,7.03,1.78,33.8,56
22,54,28,84,15024,8,7.09,1.81,33.0,57
32,63,17,49,9652,5,6.76,1.11,29.1,54
49,78,28,85,17342,2,6.66,2.29,33.9,54
20,70,17,59,11961,7,6.85,1.43,31.0,53
20,59,33,67,12955,6,6.43,1.68,30.8,55
32,78,32,58,11824,4,6.73,1.85,29.8,62
49,46,35,60,11912,3,7.24,1.34,30.4,61
25,52,23,46,9662,6,6.89,0.96,28.8,55
23,75,37,53,9691,9,6.14,1.8,30.0,56
22,68,32,74,10670,10,6.8,1.97,28.8,58
33,46,27,44,4000,6,6.2,0.88,23.8,65
34,69,31,44,9685,7,6.87,1.4,28.5,56
22,70,23,67,11696,7,6.68,1.7,29.6,57
41,75,35,75,18433,4,6.89,2.18,33.3,57
44,78,30,51,14359,2,6.7,1.68,32.5,59
42,72,25,57,11539,1,6.68,1.59,30.1,62
38,55,29,61,16368,2,6.35,1.41,32.0,50
25,78,39,65,11639,7,7.16,2.12,28.9,57
51,67,23,61,14728,4,6.98,1.53,31.5,52
32,59,28,50,15707,3,6.87,1.26,34.6,44
52,69,28,42,7379,2,6.83,1.3,27.1,66
43,68,30,89,15583,0,7.22,2.21,33.6,57
53,40,35,89,14189,1,6.7,1.78,33.3,55
51,70,15,82,6992,0,7.07,1.83,24.9,59
52,55,26,64,8490,1,5.98,1.41,27.9,62
32,59,27,56,12709,3,6.65,1.36,30.9,55
20,78,33,89,12104,8,6.39,2.46,30.3,57
26,55,37,73,11931,7,7.23,1.8,33.0,53
53,51,19,74,18195,0,6.52,1.4,34.8,60
43,42,26,50,16166,0,6.57,0.9,34.4,43
27,65,39,79,10793,4,6.53,2.14,30.2,56
47,47,15,87,12239,4,6.46,1.49,31.1,50
53,52,33,86,19255,3,6.88,1.91,34.4,47
34,45,19,57,12583,7,6.45,0.96,29.9,58
42,66,37,50,8829,2,6.68,1.57,27.3,67
28,53,22,63,9402,3,6.64,1.28,27.6,61
48,51,22,54,12533,4,7.29,1.07,29.4,56
29,64,17,48,12286,4,6.6,1.11,30.6,60
42,61,33,44,9817,2,7.3,1.28,29.3,62
43,49,23,69,16535,3,6.62,1.34,33.3,62
30,45,39,54,16416,4,6.77,1.28,33.7,56
47,61,27,76,12165,4,7.09,1.78,30.4,64
20,47,29,61,10544,8,6.71,1.26,31.4,68
